clock,Timestamp,Logfile,Time span(ms),0-oldmac-vbox-read~total-tx-sec-IOPs,0-oldmac-vbox-read~total-MB-sec,1-oldmac-vbox-write~total-tx-sec-IOPs,1-oldmac-vbox-write~total-MB-sec,2-newmac-hd-read~total-tx-sec-IOPs,2-newmac-hd-read~total-MB-sec,3-newmac-hd-write~total-tx-sec-IOPs,3-newmac-hd-write~total-MB-sec,4-oldmac-hd-write~total-tx-sec-IOPs,4-oldmac-hd-write~total-MB-sec,5-oldmac-hd-read~total-tx-sec-IOPs,5-oldmac-hd-read~total-MB-sec
00,1603218950285,249,./tmp, 103696.20,    809.68,0,0,0,0,0,0,0,0,0,0
01,1603218694005,7556,./tmp,0,0,   2234.28,     17.46,0,0,0,0,0,0,0,0
02,1603219770197,313,./tmp,0,0,0,0, 134295.08,   1048.23,0,0,0,0,0,0
03,1603219652304,1487,./tmp,0,0,0,0,0,0,  13529.31,    105.70,0,0,0,0
04,1603218768079,2142,./tmp,0,0,0,0,0,0,0,0,   9492.47,     74.16,0,0
05,1603218979006,575,./tmp,0,0,0,0,0,0,0,0,0,0,  59362.32,    463.25
10,1603218950531,246,./tmp, 112219.18,    875.00,0,0,0,0,0,0,0,0,0,0
11,1603218711482,17477,./tmp,0,0,    961.02,      7.51,0,0,0,0,0,0,0,0
12,1603219770570,373,./tmp,0,0,0,0, 113384.09,    884.79,0,0,0,0,0,0
13,1603219653636,1332,./tmp,0,0,0,0,0,0,  15633.59,    122.14,0,0,0,0
14,1603218770418,2339,./tmp,0,0,0,0,0,0,0,0,   8733.48,     68.23,0,0
15,1603218979627,621,./tmp,0,0,0,0,0,0,0,0,0,0,  72176.21,    563.11
20,1603218950745,214,./tmp, 127336.78,    993.16,0,0,0,0,0,0,0,0,0,0
21,1603218733958,22476,./tmp,0,0,    752.15,      5.88,0,0,0,0,0,0,0,0
22,1603219770937,367,./tmp,0,0,0,0, 151236.92,   1179.67,0,0,0,0,0,0
23,1603219654901,1265,./tmp,0,0,0,0,0,0,  16832.88,    131.51,0,0,0,0
24,1603218773167,2749,./tmp,0,0,0,0,0,0,0,0,   7682.40,     60.02,0,0
25,1603218980381,754,./tmp,0,0,0,0,0,0,0,0,0,0,  71441.86,    557.33
30,1603218951118,373,./tmp, 100361.41,    782.85,0,0,0,0,0,0,0,0,0,0
31,1603218759299,25341,./tmp,0,0,    670.94,      5.24,0,0,0,0,0,0,0,0
32,1603219771355,418,./tmp,0,0,0,0, 132395.95,   1032.62,0,0,0,0,0,0
33,1603219656182,1281,./tmp,0,0,0,0,0,0,  17009.08,    132.88,0,0,0,0
34,1603218776680,3513,./tmp,0,0,0,0,0,0,0,0,   6041.85,     47.20,0,0
35,1603218981113,732,./tmp,0,0,0,0,0,0,0,0,0,0,  74898.29,    584.66
40,1603218951448,330,./tmp, 135181.52,   1054.16,0,0,0,0,0,0,0,0,0,0
