run,timestamp,logile,clock-lapsedtime-ms,newmac-hd-write~total-tx-sec-IOPs,newmac-hd-write~total-MB-sec
0,1603219652304,1487,./tmp,  13529.31,    105.70
1,1603219653636,1332,./tmp,  15633.59,    122.14
2,1603219654901,1265,./tmp,  16832.88,    131.51
3,1603219656182,1281,./tmp,  17009.08,    132.88
4,1603219657368,1186,./tmp,  18827.86,    147.09
5,1603219658575,1207,./tmp,  18667.68,    145.84
6,1603219659814,1239,./tmp,  18118.17,    141.55
7,1603219661143,1329,./tmp,  17046.69,    133.18
8,1603219662572,1429,./tmp,  16152.48,    126.19
9,1603219664133,1561,./tmp,  15043.61,    117.53
