run,timestamp,logile,clock-lapsedtime-ms,oldmac-hd-read~total-tx-sec-IOPs,oldmac-hd-read~total-MB-sec
0,1603218979006,575,./tmp,  59362.32,    463.25
1,1603218979627,621,./tmp,  72176.21,    563.11
2,1603218980381,754,./tmp,  71441.86,    557.33
3,1603218981113,732,./tmp,  74898.29,    584.66
4,1603218981948,835,./tmp,  75851.85,    591.91
5,1603218982885,937,./tmp,  85556.13,    667.67
6,1603218983971,1086,./tmp,  82867.05,    646.75
7,1603218985432,1461,./tmp,  65015.87,    507.28
8,1603218987125,1693,./tmp,  65073.26,    507.78
9,1603218988975,1850,./tmp,  69247.67,    540.28
