run,timestamp,logile,clock-lapsedtime-ms,oldmac-vbox-read~total-tx-sec-IOPs,oldmac-vbox-read~total-MB-sec
0,1603218950285,249,./tmp, 103696.20,    809.68
1,1603218950531,246,./tmp, 112219.18,    875.00
2,1603218950745,214,./tmp, 127336.78,    993.16
3,1603218951118,373,./tmp, 100361.41,    782.85
4,1603218951448,330,./tmp, 135181.52,   1054.16
5,1603218951763,315,./tmp, 157791.33,   1230.77
6,1603218952113,350,./tmp, 159288.89,   1242.35
7,1603218952515,402,./tmp, 147437.56,   1150.27
8,1603218952971,456,./tmp, 154404.19,   1204.34
9,1603218953485,514,./tmp, 147603.61,   1151.31
